index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.welt.de/vermischtes/katastrophen/article255063074/Waldbraende-in-Los-Angeles-Sie-weinten-sie-schrien-30-000-wegen-Feuersturm-evakuiert.html,https://www.welt.de/vermischtes/katastrophen/article255063074/Waldbraende-in-Los-Angeles-Sie-weinten-sie-schrien-30-000-wegen-Feuersturm-evakuiert.html,0,www.welt.de,"30.000 Menschen in Los Angeles evakuiert – „Sie weinten, sie schrien“","An der kalifornischen Pazifikküste hat sich erneut ein apokalyptischer Waldbrand entzündet. Menschen fliehen vor dem Feuer, dichter Rauch hängt über Los Angeles. Zahlreiche Villen an den Hängen zum Meer sind abgebrannt. Wie weit sich die Brände auch auf ander…",https://img.welt.de/img/vermischtes/katastrophen/mobile255063574/4027931937-ci16x9-w1200/Wildfires-in-Los-Angeles.jpg,2025-01-07T22:29:12Z,,"An der kalifornischen Pazifikküste hat sich erneut ein apokalyptischer Waldbrand entzündet. Menschen fliehen vor dem Feuer, dichter Rauch hängt über Los Angeles. Zahlreiche Villen an den Hängen zum M… [+10304 chars]",,de,'Waldbrand'
https://www.zeit.de/gesellschaft/zeitgeschehen/2025-01/kalifornien-los-angeles-waldbrand-pasadena-altadena,https://www.zeit.de/gesellschaft/zeitgeschehen/2025-01/kalifornien-los-angeles-waldbrand-pasadena-altadena,0,www.zeit.de,Kalifornien : Zwei weitere Waldbrände bei Los Angeles ausgebrochen,"Auch in Pasadena, Altadena und Sylmar brennt es: Zehntausende Menschen bringen sich vor den Flammen in Sicherheit. In Pacific Palisades sind viele Häuser zerstört.",https://img.zeit.de/administratives/sharing/fallback-image/wide__1300x731,2025-01-08T08:02:47Z,,"Nordöstlich von Los Angeles wütet ein weiterer Waldbrand. Das Feuer brach am Dienstagabend in der Nähe der Vororte Pasadena und Altdena aus. Es griff so schnell um sich, dass das Personal eines Senio… [+898 chars]",,de,'Waldbrände'
https://www.faz.net/aktuell/gesellschaft/waldbrand-bei-los-angeles-zwingt-52-000-menschen-zur-flucht-110217477.html,https://www.faz.net/aktuell/gesellschaft/waldbrand-bei-los-angeles-zwingt-52-000-menschen-zur-flucht-110217477.html,0,www.faz.net,Kalifornien: Waldbrand bei Los Angeles zwingt Zehntausende zur Flucht,"Rund um Los Angeles wüten drei Waldbrände. Starke Windböen erschweren die Löscharbeiten. Viele Häuser wurden zerstört, betroffen sind auch die Anwesen von Schauspielern.",https://media1.faz.net/ppmedia/aktuell/gesellschaft/4099367934/1.10218411/facebook_teaser/feuerwehrleute-bekaempfen-das.jpg,2025-01-08T13:34:01Z,,"Löschfahrzeuge der Feuerwehren aus Los Angeles, Beverly Hills, Malibu und Santa Monica waren derweil am Boden im Einsatz, um das Ausbreiten der Flammen zu verhindern. Bis Mittwochmorgen brannten in d… [+3930 chars]",,de,'Waldbrand'
https://www.morgenpost.de/panorama/article408035556/experte-ueber-waldbrand-in-los-angeles-es-wird-noch-schlimmer.html,https://www.morgenpost.de/panorama/article408035556/experte-ueber-waldbrand-in-los-angeles-es-wird-noch-schlimmer.html,0,www.morgenpost.de,Experte über Waldbrand in Los Angeles – „Es wird noch schlimmer“,"Mindestens 52.000 Menschen, darunter auch Prominente, müssen vor den Flammen fliehen. Für die Retter ist vielerorts kein Durchkommen.",https://img.sparknews.funkemedien.de/408035842/408035842_1736343392_v16_9_1600.jpeg,2025-01-08T13:36:32Z,,"Washington. Mindestens 52.000 Menschen, darunter auch Prominente, müssen vor den Flammen fliehen. Für die Retter ist vielerorts kein Durchkommen.
An der kalifornischen Pazifikküste spielen sich dram… [+5981 chars]",,de,'Waldbrand trocken'
https://www.tagesschau.de/ausland/amerika/los-angeles-usa-waldbrand-evakuierung-106.html,https://www.tagesschau.de/ausland/amerika/los-angeles-usa-waldbrand-evakuierung-106.html,0,www.tagesschau.de,Biden erklärt Brandregion bei Los Angeles zum Katastrophengebiet,"Die Waldbrände in Kalifornien breiten sich weiter aus. Die Zahl der Todesopfer ist auf mindestens fünf gestiegen, Zehntausende Menschen sind auf der Flucht. Zumindest ist nun Unterstützung durch Bundesmittel sicher.",https://images.tagesschau.de/image/5c3f432d-7568-406f-a744-cb902e174a4e/AAABlEi9KC8/AAABkZLhkrw/16x9-1280/kalifornien-braende-146.jpg,2025-01-09T01:45:43Z,http://archive.md/20250109124447/https://www.tagesschau.de/ausland/amerika/los-angeles-usa-waldbrand-evakuierung-106.html,"Stand: 09.01.2025 02:45 Uhr
Die Waldbrände in Kalifornien breiten sich weiter aus. Die Zahl der Todesopfer ist auf mindestens fünf gestiegen, Zehntausende Menschen sind auf der Flucht. Zumindest ist… [+3846 chars]",,de,'Waldbrände'
https://www.morgenpost.de/panorama/article408034024/los-angeles-feuer-waldbrand-aktuell-news.html,https://www.morgenpost.de/panorama/article408034024/los-angeles-feuer-waldbrand-aktuell-news.html,0,www.morgenpost.de,Sechster Waldbrand bei Los Angeles: Hollywood Hills in Flammen,"Rund um Los Angeles sind mehrere Waldbrände ausgebrochen. Zehntausende fliehen, mindestens fünf Menschen sind  gestorben. Die News im Blog.",https://img.sparknews.funkemedien.de/408041483/408041483_1736390862_v16_9_1600.jpeg,2025-01-09T05:25:00Z,,"Berlin. Rund um Los Angeles sind mehrere Waldbrände ausgebrochen. Zehntausende fliehen, mindestens fünf Menschen sind gestorben. Die News im Blog.
Feuersturm in Kalifornien: Rund um die Millionensta… [+20182 chars]",,de,'Waldbrand'
https://www.visions.de/news/diiv-frontmann-haus-waldbraaende-fundraiser-gestartet/,https://www.visions.de/news/diiv-frontmann-haus-waldbraaende-fundraiser-gestartet/,0,www.visions.de,Diiv: Frontmann Zachary Cole Smith verliert Haus durch Waldbrände in Los Angeles,"Infolge der verheerenden Waldbrände im US-Bundesstaat Kalifornien verliert auch Diiv-Frontmann Zachary Cole Smith sein Haus und seinen gesamten Besitz. Nun wurde eine Fundraiser-Kampagne gestartet.
Der Beitrag Diiv-Mitglied verliert Haus in Waldbrand erschien…",https://www.visions.de/wp-content/uploads/DIIV-by-Shervin-Lainez-scaled.jpg,2025-01-09T09:18:53Z,,"Über 150.000 Personen sind bereits vor den Waldbränden, die aktuell in und um Los Angeles wüten, geflüchtet, tausende Häuser wurden bereits durch die Feuer zerstört, darunter auch das Haus von Diiv-F… [+1534 chars]",,de,'Waldbrand'
https://www.tagesspiegel.de/gesellschaft/panorama/aufflammende-waldbrande-wetterexperten-warnen-erneut-vor-starken-boen-in-kalifornien-12986038.html,https://www.tagesspiegel.de/gesellschaft/panorama/aufflammende-waldbrande-wetterexperten-warnen-erneut-vor-starken-boen-in-kalifornien-12986038.html,0,www.tagesspiegel.de,Aufflammende Waldbrände?: Wetterexperten warnen erneut vor starken Böen in Kalifornien,"Die Feuerwehrleute im Raum Los Angeles kämpfen weiter verzweifelt gegen die historischen Brände. Ihre Chefin wirft der Stadtverwaltung vor, durch Haushaltskürzungen die Feuerwehr geschwächt zu haben.",https://www.tagesspiegel.de/images/13000768/alternates/BASE_16_9_W1400/1736536828000/brande-in-kalifornien.jpeg,2025-01-09T10:15:57Z,,Wetterexperten erwarten für das Wochenende erneut stärkere Böen in Los Angeles. Die könnten das Feuer noch weiter anfachen. Indes stieg die Zahl der Toten bei den katastrophalen Bränden auf elf. Jedo… [+11942 chars],,de,'Waldbrände'
https://www.morgenpost.de/panorama/article408042180/karte-wo-die-waldbraende-in-los-angeles-aktuell-wueten.html,https://www.morgenpost.de/panorama/article408042180/karte-wo-die-waldbraende-in-los-angeles-aktuell-wueten.html,0,www.morgenpost.de,Karte: Wo die Waldbrände in Los Angeles aktuell wüten,"Bilder von der Feuerkatastrophe in der kalifornischen US-Metropole gehen um die Welt. Auf der Karte sehen Sie, wo die Waldbrände aktuell toben.",https://img.sparknews.funkemedien.de/408035835/408035835_1736343391_v16_9_1600.jpeg,2025-01-09T12:51:07Z,,"Berlin/Los Angeles. Bilder von der Feuerkatastrophe in der kalifornischen US-Metropole gehen um die Welt. Auf der Karte sehen Sie, wo die Waldbrände toben.
Los Angeles droht in Flammen aufzugehen. V… [+2455 chars]",,de,'Waldbrände'
https://www.morgenpost.de/panorama/article408042784/waldbraende-in-los-angeles-kachelmann-provoziert-mit-klima-these.html,https://www.morgenpost.de/panorama/article408042784/waldbraende-in-los-angeles-kachelmann-provoziert-mit-klima-these.html,0,www.morgenpost.de,Waldbrände in Los Angeles: Kachelmann provoziert mit Klima-These,"In Los Angeles brennen Häuser, Zehntausende flüchten. Jörg Kachelmann nutzt das für eine Spitze gegen Klimaforscher – und die Deutschen.",https://img.sparknews.funkemedien.de/408042502/408042502_1736416095_v16_9_1600.jpeg,2025-01-09T13:03:32Z,http://archive.md/20250109172856/https://www.morgenpost.de/panorama/article408042784/waldbraende-in-los-angeles-kachelmann-provoziert-mit-klima-these.html,"Berlin. In Los Angeles brennen Häuser, Zehntausende flüchten. Jörg Kachelmann nutzt das für eine Spitze gegen Klimaforscher und die Deutschen.
Die Bilder mehrerer Großbrände in und um Los Angeles (U… [+5240 chars]",,de,'Waldbrände'
