index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.derstandard.de/story/3000000337964/waldbrand-in-sizilianischem-badeort-taormina-bedroht-wohnh228user,https://www.derstandard.de/story/3000000337964/waldbrand-in-sizilianischem-badeort-taormina-bedroht-wohnh228user,0,www.derstandard.de,Waldbrand in sizilianischem Badeort Taormina bedroht Wohnhäuser,"Der Bürgermeister spricht von einer ""tragischen Situation"". Der Bürgermeister spricht von einem Verdacht auf Brandstiftung",https://i.ds.at/DUw3UA/rs:fill:1200:600/plain/lido-images/2026/09/01/12ac8da6-fce1-4170-bd13-ae7a591d26eb.jpg,2026-09-01T12:49:22Z,,"Sie entscheiden darüber, wie Sie unsere Inhalte nutzen wollen. Ihr Gerät erlaubt uns derzeit leider nicht, die entsprechenden Optionen anzuzeigen.
Bitte deaktivieren Sie sämtliche Hard- und Software… [+180 chars]",,de,'Waldbrand'
https://www.zeit.de/news/2026-09/01/deutsche-feuerwehrleute-beenden-einsatz-in-serbien,https://www.zeit.de/news/2026-09/01/deutsche-feuerwehrleute-beenden-einsatz-in-serbien,0,www.zeit.de,Waldbrände: Deutsche Feuerwehrleute beenden Einsatz in Serbien,Hier finden Sie Informationen zu dem Thema „Waldbrände“. Lesen Sie jetzt „Deutsche Feuerwehrleute beenden Einsatz in Serbien“.,https://img.zeit.de/news/2026-09/01/deutsche-feuerwehrleute-beenden-einsatz-in-serbien-image-group/wide__1300x731,2026-09-01T16:15:53Z,,Feuerwehrleute aus Nordrhein-Westfalen und Niedersachsen haben nach elf Tagen einen Einsatz in Serbien beendet. Sie hatten dort serbische Feuerwehrkräfte bei der Bekämpfung eines großen Waldbrands im… [+1232 chars],,de,'Waldbrände'
https://www.zeit.de/news/2026-09/03/waldbraende-auf-borneo-orang-utan-stirbt-an-atemproblemen,https://www.zeit.de/news/2026-09/03/waldbraende-auf-borneo-orang-utan-stirbt-an-atemproblemen,0,www.zeit.de,Kampf um letzte Menschenaffen: Waldbrände auf Borneo: Orang-Utan stirbt an Atemproblemen,Hier finden Sie Informationen zu dem Thema „Kampf um letzte Menschenaffen“. Lesen Sie jetzt „Waldbrände auf Borneo: Orang-Utan stirbt an Atemproblemen“.,https://img.zeit.de/news/2026-09/03/waldbraende-auf-borneo-orang-utan-stirbt-an-atemproblemen-image-group/wide__1300x731,2026-09-03T10:36:21Z,,Die Wald- und Flächenbrände auf der Insel Borneo haben einem Orang-Utan offenbar das Leben gekostet. Das erwachsene Männchen namens Sampurna war zuvor schwer geschwächt auf einer Palmölplantage in de… [+2938 chars],,de,'Waldbrände'
https://www.tagesspiegel.de/gesellschaft/panorama/dpa-kampf-um-letzte-menschenaffen-16013272.html,https://www.tagesspiegel.de/gesellschaft/panorama/dpa-kampf-um-letzte-menschenaffen-16013272.html,0,www.tagesspiegel.de,Kampf um letzte Menschenaffen: Waldbrände auf Borneo: Orang-Utan stirbt an Atemproblemen,Auf Borneo wüten Waldbrände. Für die ohnehin bedrohten Orang-Utans wird die Feuer-Saison zur zusätzlichen Gefahr: Ein Tier wird erst gerettet und stirbt dann doch – vermutlich an der Rauchbelastung.,https://www.tagesspiegel.de/images/16013271/alternates/BASE_16_9_W1400/1788431842000/orang-utans-auf-borneo.jpeg,2026-09-03T10:37:21Z,,Die Wald- und Flächenbrände auf der Insel Borneo haben einem Orang-Utan offenbar das Leben gekostet. Das erwachsene Männchen namens Sampurna war zuvor schwer geschwächt auf einer Palmölplantage in de… [+2992 chars],,de,'Waldbrände'
https://www.tagesspiegel.de/gesellschaft/panorama/dpa-orang-utan-stirbt-kurz-nach-seiner-rettung-aus-waldbrandgebiet-auf-borneo-16013272.html,https://www.tagesspiegel.de/gesellschaft/panorama/dpa-orang-utan-stirbt-kurz-nach-seiner-rettung-aus-waldbrandgebiet-auf-borneo-16013272.html,0,www.tagesspiegel.de,Tierärzte konnten nicht helfen: Orang-Utan stirbt kurz nach seiner Rettung aus Waldbrandgebiet auf Borneo,Anwohner fanden den geschwächten Orang-Utan auf einer Palmölplantage. Trotz schneller Hilfe starb das etwa 20 Jahre alte Tier wenig später an schweren Atemproblemen.,https://www.tagesspiegel.de/images/16013271/alternates/BASE_16_9_W1400/1788443904000/orang-utans-auf-borneo.jpeg,2026-09-03T10:37:21Z,,Die Wald- und Flächenbrände auf der Insel Borneo haben einem Orang-Utan offenbar das Leben gekostet. Das erwachsene Männchen namens Sampurna war zuvor schwer geschwächt auf einer Palmölplantage in de… [+3594 chars],,de,'Waldbrand'
https://www.tagesschau.de/ausland/asien/indonesien-waldbraende-100.html,https://www.tagesschau.de/ausland/asien/indonesien-waldbraende-100.html,0,www.tagesschau.de,Waldbrände in Indonesien breiten sich unkontrolliert aus,"In Indonesien breiten sich die Waldbrände weiter aus. Vor allem auf der Insel Borneo, einem der letzten natürlichen Lebensräume der Orang-Utans, stehen große Flächen in Flammen. Die Brände sind nicht unter Kontrolle.",https://images.tagesschau.de/image/2f4ba3e5-77a9-434b-8639-20aed19ca762/AAABoGtzCSE/AAABnSSvrFg/16x9-big/feuerwehr-schlange-100.jpg?width=1280,2026-09-04T09:56:24Z,,"Stand: 04.09.2026 11:56 Uhr
In Indonesien breiten sich die Waldbrände weiter aus. Vor allem auf der Insel Borneo, einem der letzten natürlichen Lebensräume der Orang-Utans, stehen große Flächen in F… [+2220 chars]",,de,'Waldbrände'
https://www.faz.net/aktuell/wirtschaft/unternehmen/munich-re-und-swiss-re-rueckversicherer-verdienen-ihre-kapitalkosten-accg-201187463.html,https://www.faz.net/aktuell/wirtschaft/unternehmen/munich-re-und-swiss-re-rueckversicherer-verdienen-ihre-kapitalkosten-accg-201187463.html,0,www.faz.net,Rückversicherer: Munich Re und Co. verdienen auch 2027 ihre Kapitalkosten,"Die Risiken für Rückversicherer nehmen durch Waldbrände und Angriffe wie jüngst auf das Stromnetz zu. Trotz sinkender Prämien sei die Branche gut aufgestellt, befindet die Ratingagentur Standard & Poor’s.",https://media0.faz.net/image/w1200h627/469956a3df94/w6000h3135x0y572o/202608/43601.0.2451307217/von-sonntag-an-treffen-sich.webp,2026-09-04T10:47:38Z,,"Die ganz fetten Jahre für die Rückversicherer sind vorbei. Die von der Munich Re, der Swiss Re und der Hannover Rück dominierte Branche muss zwar mit sinkenden Prämien rechnen, ist nach Auffassung de… [+3089 chars]",,de,'Waldbrände'
https://www.faz.net/aktuell/klimawandel-eine-bilanz-des-hitzesommers-2026-201184117.html,https://www.faz.net/aktuell/klimawandel-eine-bilanz-des-hitzesommers-2026-201184117.html,0,www.faz.net,Klimawandel: Wie war der Hitzesommer?,"Der Sommer 2026 ist Geschichte. Was bleibt ist die Erinnerung an Waldbrände, Trockenheit und quälende Hitze, die viele Menschen nicht überlebten. Eine Bilanz mit Zahlen und Daten.",https://media0.faz.net/image/w1200h627/eb75f6abf9e6/w1867h975x167y37o/202609/ee295d11-96ad-4e0c-8711-a12988bf0a83/krkx9styocwn.webp,2026-09-04T15:08:01Z,,"Von Frauke Zbikowski, Andreas Frey und Pia Heinemann (Texte), Claudia Bothe und Julia Bellan (Grafiken)
5. September 2026 · Der Sommer ist Geschichte. Was bleibt ist die Erinnerung an Waldbrände, di… [+507 chars]",,de,'Waldbrände'
https://www.welt.de/regionales/nrw/article6a998d4dca00b4462f06a485/waldbrand-wie-in-nrw-die-infrastruktur-im-forst-optimiert-wird.html,https://www.welt.de/regionales/nrw/article6a998d4dca00b4462f06a485/waldbrand-wie-in-nrw-die-infrastruktur-im-forst-optimiert-wird.html,0,www.welt.de,Nach dem Feuer ist vor dem Feuer,"Der Waldbrand von Hürtgenwald war der bislang größte in der Geschichte des Landes NRW. Nun sind Maßnahmen gefragt, um Großfeuer im Forst besser bekämpfen zu können – oder sogar zu verhindern.",https://images.welt.de/6a998d4dca00b4462f06a485/5b0b2588812382f6d1e408e5c0856f6f-master/ci16x9-w1200/dpa-com-260814-936-62459-jpg,2026-09-06T05:11:43Z,,"Es sind nur ein paar Stufen ins Obergeschoss des Regionalforstamts in Wesel. Doch auf den Bildschirmen, die dort in einem Büro stehen, hat man den ganzen Niederrhein aus der Vogelperspektive im Blick… [+7611 chars]",,de,'Waldbrand'
https://www.tagesspiegel.de/wissen/klima-und-luft-16025186.html,https://www.tagesspiegel.de/wissen/klima-und-luft-16025186.html,0,www.tagesspiegel.de,"Mehr Hitze, mehr Schadstoffe: Brände und Ozon verschärfen die Belastung",Hitzewellen und Waldbrände verschlechtern die Luftqualität. Toxischer Rauch und bodennahes Ozon belasten Menschen und Umwelt. Die Gefahr reicht dabei weit über die Brandherde hinaus.,https://www.tagesspiegel.de/images/16025185/alternates/BASE_16_9_W1400/1788753682000/wmo-hitzewellen-und-brande-verscharfen-luftverschmutzung.jpeg,2026-09-07T04:01:22Z,,"Hitzewellen und Waldbrände erschweren nach einem Bericht der Weltwetterorganisation (WMO) den Kampf um saubere Luft auch in Europa. 
Steigende Temperaturen begünstigten nicht nur extreme Brände, der… [+1770 chars]",,de,'Waldbrände'
